Name	AREA	Category	Photo	Latitude	Longitude
Puppy Love	Glyfada	Pet Shop		37,87215	23,75232
Four Feet 	Glyfada	Pet Shop		37,94062	23,75179
Petpalladium	Palaio Faliro	Pet Shop		37,92458	23,70365
Kougianou	Palaio Faliro	Pet Shop		37,93149	23,70194
Pet Taxi	Palaio Faliro	Pet Shop		37,93159	23,69665
Pet Workx	Palaio Faliro	Pet Shop		37,92833	23,69374
Pet Planet	Palaio Faliro	Pet Shop		37,93201	23,69623
Lefteris	Palaio Faliro	Pet Shop		37,93844	23,70335
Makri	Palaio Faliro	Pet Shop		37,92918	23,68925
Alatis	Palaio Faliro	Pet Shop		37,9393	23,70676
Pet Story	Palaio Faliro	Pet Shop		37,95295	23,73501
O Kipos	Palaio Faliro	Pet Shop		37,93211	23,69185
Pets4ever.GR	Palaio Faliro	Pet Shop		37,91903	23,70083
Pet fiba	Aigalew	Pet Shop		38,01085	23,64758
Martinos	Aigalew	Pet Shop		37,99099	23,68402
Steki	Aigalew	Pet Shop		37,99223	23,67271
Zalonis	Aigalew	Pet Shop		37,99193	23,68318
Pet Boom	Aigalew	Pet Shop		37,99216	23,677
Amazon	Aigalew	Pet Shop		37,98578	23,67421
One Stop	Aigalew	Pet Shop		37,99752	23,68849
Rigas	Aigalew	Pet Shop		37,98644	23,6704
O Petros	Aigalew	Pet Shop		37,99227	23,68258
Pet Way	Aigalew	Pet Shop		37,98999	23,68185
Kougioumtzoglou	Nea Iwnia	Pet Shop		38,03461	23,75902
Idefix	Nea Iwnia	Pet Shop		38,0415	23,75301
Pet Friends	Nea Iwnia	Pet Shop		38,04261	23,75363
Snoopy	Nea Iwnia	Pet Shop		38,04587	23,75121
Gianakaki	Nea Iwnia	Pet Shop		38,03256	23,75048
Avra Farm	Nea Iwnia	Pet Shop		38,03048	23,74789
Hungry Pets	Nea Iwnia	Pet Shop		38,03588	23,76932
Perfettp	Nea Iwnia	Pet Shop		38,04515	23,75505
Droopy	Nea Iwnia	Pet Shop		38,03692	23,76961
Pet & Friends	Nea Smyrni	Pet Shop		37,94079	23,71327
Zoobazaar	Nea Smyrni	Pet Shop		37,95997	23,72815
Frou Frou	Nea Smyrni	Pet Shop		37,93825	23,7162
Sofia's	Nea Smyrni	Pet Shop		37,93817	23,71616
Tsino's Nest	Nea Smyrni	Pet Shop		37,94534	23,71337
Pet Habbit	Nea Smyrni	Pet Shop		37,94148	23,7091
Pack Leader	Nea Smyrni	Pet Shop		37,95108	23,71839
Zoolosophy	Nea Smyrni	Pet Shop		37,93864	23,71619
Pet Star	Nea Smyrni	Pet Shop		37,94633	23,71114
Animal's Point	Nea Smyrni	Pet Shop		37,93898	23,71297
Rot Family	Nea Smyrni	Pet Shop		37,94597	23,67025
Amigos	Zografou	Pet Shop		37,97243	23,76589
Spiliotis	Zografou	Pet Shop		37,98013	23,75868
Pirioxos	Zografou	Pet Shop		37,97548	23,76663
Spiliotis	Zografou	Pet Shop		37,97569	23,76298
Free Willy	Zografou	Pet Shop		37,98078	23,76606
Kanellis	Zografou	Pet Shop		37,00272	23,81343
Petit Monde	Zografou	Pet Shop		37,98098	23,7632
Tsoukala	Zografou	Pet Shop		37,97736	23,76736
Rot Family	Zografou	Pet Shop		37,97668	23,7747
Lupo	Kaisariani	Pet Shop		37,9686	23,75778
Tranining Camp	Kaisariani	Training Camp		37,96544	23,76681
Training Camp	Kaisariani	Training Camp		37,96799	23,75697
Spiliotis Pet Care	Kaisariani	Pet Shop		37,97119	23,75096
Skopeto	Kaisariani	Pet Shop		37,96521	23,75856
Zoo Park	Kaisariani	Pet Shop		37,96656	23,76966
Artemis	Kaisariani	Pet Shop		37,96724	23,76459
Amico	Kaisariani	Pet Shop		37,969	23,7552
Animal.Gr	Marousi	Pet Shop		38,05685	23,80997
Dionisopoulos	Marousi	Pet Shop		38,05909	23,79831
Labros	Marousi	Pet Shop		38,06209	23,80341
Pantos	Marousi	Pet Shop		38,05917	23,7724
To Katoikidio	Marousi	Pet Shop		38,05436	23,80818
Doggy Style 	Marousi	Pet Hair Dressing		38,05496	23,80917
Dog Talk	Marousi	Pet Shop		38,05316	23,81073
TaTamanidis	Melissia	Pet Shop		38,05265	23,83874
Posh Pets	Melissia	Pet Shop		38,06103	23,84007
Magic 	Melissia	Pet Shop		38,03665	23,82591
GR Pet	Melissia	Pet Shop		38,06564	23,84225
Goufas	Melissia	Pet Shop		38,06558	23,84082
Pet Home	Melissia	Pet Shop		38,06149	23,83657
Zamani	Melissia	Pet Shop		38,05331	23,84115
Pantazi	Melissia	Pet Shop		38,06324	23,58963
Aliverti	Hrakleio	Pet Shop		38,05045	23,76459
Pet Boom	Hrakleio	Pet Shop		38,05012	23,75198
My PetShop	Hrakleio	Pet Shop		38,06144	23,77449
Zoupina	Hrakleio	Pet Shop		38,04729	23,76236
